20110	70.00
20111	70.00
20112	70.00
20113	70.00
20114	70.00
20115	70.00
20116	70.00
20117	70.00
20118	70.00
20119	120.00
20120	70.00
20121	70.00
20122	70.00
20123	70.00
20124	70.00
20125	70.00
20201	70.00
20202	70.00
20203	70.00
20204	70.00
20205	70.00
20206	70.00
20207	70.00
20208	70.00
20209	70.00
20210	70.00
20211	70.00
20212	70.00
20213	70.00
20214	70.00
20215	70.00
20216	70.00
20217	70.00
20218	70.00
20219	70.00
20220	70.00
20221	70.00
20222	70.00
20223	70.00
20224	70.00
20225	70.00
20226	70.00
20227	70.00
20228	70.00
20229	70.00
20230	70.00
20231	70.00
20232	70.00
20233	70.00
20234	70.00
20235	70.00
20236	70.00
20237	70.00
20238	70.00
20239	70.00
20240	70.00
20241	70.00
20242	70.00
20243	100.00
20244	120.00
20245	120.00
20246	160.00
20247	160.00
20248	160.00
20249	160.00
20250	100.00
20251	100.00
20252	160.00
20253	80.00
20254	80.00
20255	80.00
20257	100.00
20258	80.00
20259	80.00
20260	100.00
20030	100.00
20261	100.00
20262	100.00
20263	140.00
20264	140.00
20265	100.00
20266	100.00
20267	100.00
20268	100.00
20269	120.00
20270	120.00
30000	150.00
30002	220.00
30003	220.00
30004	200.00
30005	200.00
30006	270.00
30007	270.00
30008	270.00
6500	184.00
6501	184.00
6502	368.00
6503	368.00
6504	500.00
2493	500.00
